ISSSTE_mx,501,0
UNESCO,499,0
ndtvfeed,499,1
zeitonline,499,0
NewIndianXpress,498,1
Unicanal,496,0
SkyTG24,494,0
20fourMedia,493,0
PanamericanaTV,491,0
INSABI_mx,485,0
lasillarota,483,1
IdaniaChirinos,482,0
EurasiaGroup,481,0
FOX5Atlanta,481,0
kapookdotcom,481,0
UN_News_Centre,480,0
scroll_in,480,0
EfectoCocuyo,479,0
CISFHQrs,477,0
IAMCouncil,473,0
PanAmPost_es,473,0
NAR,470,0
cronica,461,1
vpsbadnore,461,0
237online,453,0
pajhwok,453,0
PIBMumbai,452,0
prajavani,451,1
DevangVDave,450,0
DiarioOle,450,0
UNO650AM,448,0
Gouvci,442,0
elnuevodiariord,441,0
AlArabiya_Eng,440,1
AmerMedicalAssn,440,0
WeUttarPradesh,439,0
faznet,439,0
metrodemedellin,437,0
MoCA_GoI,435,0
ndmaindia,434,0
thenews_intl,434,0
maalaimalar,432,1
omarfayad,432,0
KPSoutheastDiv,431,0
BT_India,428,1
healthgovau,427,0
NatureNews,426,0
hkumed,426,0
RaiNews,424,1
tass_agency,424,1
DPCgov,422,0
ListinDiario,421,0
AlAnba_News_KW,420,0
ONUinfo,419,1
upcoprahul,416,0
ThaiPBSNews,415,0
218Tv,414,0
USDOL,413,0
DIRCO_ZA,411,0
bbcnewsmarathi,411,0
moiuae,410,0
Ei_Samay,406,0
Ami_Magazine,403,0
ONU_fr,401,0
IPRD_Bihar,396,0
Nawaiwaqt_,396,1
otempo,395,0
Syngenta,394,0
indiannavy,394,0
rte,393,0
amjoyshow,386,0
TReporta,385,0
BellRibeiroAddy,384,0
tnnthailand,383,1
firstpost,380,1
BancoMundial,378,0
martinezmau,378,0
JBCPERU,376,0
Aaron_Derfel,375,0
RT_com,373,0
gulftoday,373,1
PBNS_India,370,1
100noticiasni,369,0
MinOfCultureGoI,367,0
Teleantioquia,364,0
FinanzasEc,361,0
MinSaludBolivia,361,0
elnacionalcat,361,1
euronews,360,0
ElUniversal,359,0
Limportant_fr,359,0
Thansettakij,358,1
MariaSTsehai,357,0
JeanMessiha,356,0
thecaravanindia,356,0
TgLa7,355,1
AntonovCompany,354,0
nistula,354,0
Le360fr,353,0
News18Bengali,352,0
SwachhBharatGov,351,0
TOIAhmedabad,351,0
bb_thorat,351,0
CarlosJoaquin,350,0
SpokespersonMoD,350,0
steve_hanke,348,0
heraldodemexico,345,0
larryelder,345,0
noticierovv,345,1
Adnkronos,343,1
jenarovillamil,343,0
franceinfoplus,342,0
pagina_siete,342,0
LaRazon_Bolivia,340,0
MVSNoticias,340,0
CDN37,338,0
TOIBengaluru,337,0
ObrasPublicasEc,335,0
Tuko_co_ke,335,0
AdityaRajKaul,333,0
NationTV22,330,1
Ambiente_Ec,329,0
Outlookindia,329,1
renoomokri,329,0
greaterthanc19,327,0
AlghadNews,326,0
Sanook,326,1
CityJournal,323,0
TelanganaCOPs,323,0
VNarayanasami,323,0
AndyOstroy,322,0
tagesthemen,322,0
JagbaniOnline,321,1
PIBAhmedabad,320,0
ktnewsonline,316,1
VOANoticias,315,0
ElCaribeRD,314,0
LegaSalvini,314,0
picardonhealth,314,0
cgtnamerica,312,0
Vijaykarnataka,310,1
PIBJaipur,309,0
unicef_nepal,308,0
NEWS9TWEETS,307,1
Spotboye,307,1
Investingcom,306,0
AndaluciaJunta,306,0
NiusDiario,304,0
IndiaToday,302,1
TV_Publica,302,0
senego,302,0
1TVNewsAF,300,0
vaticannews_es,299,0
unwomenarabic,298,0
MIC_PY,297,0
rbarwanda,297,0
TOIHyderabad,296,0
