odisha_police,46701,0
Le_Figaro,46662,1
DolarToday,46649,0
EFEnoticias,46392,1
Primicias,46373,1
franceinfo,46110,0
MinisterKTR,45721,0
ewnupdates,45685,0
SAPoliceService,45204,0
MineduPeru,44979,0
moneycontrolcom,44912,1
sayedzbukhari,44897,0
News18UP,44694,0
WIONews,44635,1
globaltimesnews,44491,1
Dawn_News,44487,1
tumisole,44450,0
supriya_sule,44333,0
infobae,44123,0
MevlutCavusoglu,44105,0
DrSJaishankar,44065,0
AbrahamWeint,43983,0
OmaniMOH,43916,0
RevistaISTOE,43893,0
nikkei,43822,0
rpbreakingnews,43775,0
CNBCTV18Live,43485,1
rapplerdotcom,43346,1
Macarena_Olona,43106,0
mlkhattar,42920,0
CMOPb,42801,0
DHSgov,42739,0
Pontifex_es,42717,0
AliZafarsays,42690,0
angie_rasmussen,42673,0
CMILANOTICIA,42514,0
bsindia,42490,1
bbcbangla,42454,0
MOH_Kenya,42409,0
sunnewstamil,42229,1
DineshDSouza,42205,0
PresidenciaPy,42188,0
trspartyonline,42135,0
TV9Telugu,42003,1
ladygaga,41935,0
opsoms,41918,0
diariocorreo,41790,0
AbbTakk,41704,0
uaegov,41575,0
InsafPK,41562,0
CDCemergency,41561,0
ameyaw112,41441,0
HHSGov,41393,0
g20org,41378,0
WHOEMRO,41333,0
TONTOLET,41267,0
WRadioColombia,41122,0
BOLNETWORK,41100,1
KemenkesRI,41090,0
larepublica_pe,41018,0
BakhtawarBZ,40948,0
gatesfoundation,40869,0
METROFMSA,40825,0
DefesaGovBr,40793,0
CTVNews,40771,0
GovKaduna,40749,0
nbstv,40716,1
nadeemmalik,40606,0
kanak_news,40474,1
K24Tv,40412,0
MIB_India,39986,0
Mediapart,39981,0
RuggedyBaba,39964,0
RaoKavitha,39900,0
CCastaner,39873,0
GovRonDeSantis,39801,0
BT21_,39800,0
IPR_Odisha,39740,0
hmetromy,39735,1
NkanyeziKubheka,39596,0
dw_chinese,39581,0
iamkarendavila,39452,0
Citi973,39437,1
PHE_uk,39436,0
NightingaleLDN,39428,0
GovPritzker,39421,0
ScottMorrisonMP,39296,0
europapress,39240,0
zee24taasnews,39202,1
OmanVSCovid19,39062,0
C5N,39055,0
GovLarryHogan,39001,0
IdiazAyuso,38935,0
kizzabesigye1,38899,0
ChinaDaily,38871,1
govbr,38844,0
USArmy,38843,0
XinhuaTravel,38825,0
IlhanMN,38751,0
CAgovernor,38701,0
SaludSV,38685,0
AndreaBocelli,38632,0
lopezdoriga,38541,0
eldiarioes,38432,1
NoticieroHechos,38311,0
SimonHarrisTD,38267,0
carlaangola,38235,0
melindagates,38200,0
UltimaHoracom,38190,0
MariaBartiromo,38122,0
DiarioElPeruano,38109,0
tvOneNews,38091,0
canalN_,38091,0
vonderleyen,38059,0
HindiNews18,37996,0
AfricaCDC,37919,0
citizentvkenya,37732,0
NHSEngland,37716,0
IYC,37694,0
abpanandatv,37679,1
LambaAlka,37518,0
olivierveran,37462,0
SABCNewsOnline,37311,0
RehamKhan1,37167,0
MPF_PGR,37154,0
EpochTimes,37099,0
AnilSinghvi_,37094,0
MmusiMaimane,37044,0
OfficialPDPNig,37035,0
abpasmitatv,36851,0
globalnews,36846,0
TelanganaToday,36830,0
SABCNews,36807,0
ShayarImran,36788,0
EsSaludPeru,36718,0
CanadianPM,36665,0
camaradeputados,36588,0
teleSURtv,36540,1
pcmperu,36535,0
GregAbbott_TX,36501,0
virendersehwag,36484,0
